,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
3817,07kgW0oMZwwBqu1AlJ9lcz,Banjo,e-Dancer,11,2017-06-30,0.65,0.877,1,-6.046,1,0.0134,0.866,0.0898,0.47,125.052,203528,4
3818,122vZqxDr7xtRuNhZZPUda,All I Know,EDX,0,2017-04-10,0.718,0.944,1,-5.041,1,0.00518,0.477,0.114,0.354,125.004,148801,4
3819,1F9XmvPhz8FrXZiMui0xqn,Save Me (Wasted Penguinz Remix),Darren Styles,36,2016-11-28,0.431,0.643,3,-2.857,0,0.178,0.0,0.323,0.359,150.103,163953,4
3820,7lYGmGag8kjKIhYt6Y65a8,Starlight,Mr Gabriel,0,2017-04-07,0.312,0.72,9,-5.511,1,0.00601,0.0337,0.0936,0.119,170.071,223059,4
3821,3w9zx4WagMkb3G4lb28crX,Apex,Vicetone,0,2017-07-05,0.664,0.936,0,-4.636,1,0.0591,0.626,0.373,0.806,127.983,163069,4
3822,1ldenU8kI7z5kg7fN1P21m,Say It - Illenium Remix,ILLENIUM,0,2017-01-13,0.482,0.769,6,-4.473,1,0.0343,0.00498,0.0953,0.427,149.69,267200,4
3823,2Ewy02cyAhJQWAw2v5tIkE,Andes,Tomas Heredia,28,2017-06-09,0.567,0.918,3,-4.359,1,0.023,0.335,0.683,0.248,129.948,206055,4
3824,6yM1Ma2H6V7h8ArdCrUJlF,Keep On Rising,Ian Carey,0,2017-07-03,0.519,0.931,3,-3.101,0,0.0077,2.01e-05,0.0784,0.416,127.913,184918,4
3825,72T8z5LTzVfikIuf4EukJK,Fading Fast,Keeno,9,2017-07-28,0.521,0.92,6,-4.358,1,0.00121,0.793,0.0862,0.347,174.988,335376,4
3826,1pqOdQkmYdM7AUM1q3L1mN,Late Night,ODESZA,43,2017-04-25,0.612,0.628,2,-6.754,1,0.0358,0.00898,0.193,0.434,125.043,228155,4
3827,3E1xYL2UsFo5N6FwBOIctp,Deva,Suku,34,2017-05-05,0.61,0.797,11,-5.881,1,0.0568,0.015,0.116,0.503,93.117,175517,4
3828,3Tkbhfh9IeSd9n7RCDaymM,Fatso - VIP,Metrik,36,2017-07-28,0.49,0.952,5,-3.29,0,0.000905,0.904,0.0567,0.08,173.993,298031,4
3829,7hLrx5TLPUWjLa0YGDnPrG,The Fall,BISHØP,0,2017-05-05,0.49,0.94,10,-4.237,0,0.0271,0.0486,0.0645,0.125,124.896,192435,4
3830,0yh8V1AUXZ0uc8Ica04qBK,Talisman,Egzod,17,2017-06-06,0.601,0.914,1,-4.495,1,0.013,0.705,0.316,0.396,89.958,205667,4
3831,0rTkUcxQwA4W9JuoE70AUQ,Hi Sound Lo Sound,Tommy Trash,14,2017-06-09,0.739,0.884,8,-5.169,0,0.0155,0.499,0.692,0.319,127.94,174375,4
